 episode               m      robot_x      robot_y      goal_x       goal_y      g      f    t_h    t_m    t_s     ep
      41      23080    1.819e+00    1.292e+00    2.000e+00    1.500e+00   1   0          0   35   40    1.948e-01
      41      23320    5.783e-02    1.260e+00    2.000e-01    1.500e+00   1   0          0   35   58    1.948e-01
      41      23572   -2.169e-01    1.330e+00   -1.000e-01    1.600e+00   1   0          0   36   16    1.948e-01
      41      23716   -6.064e-01    2.493e-01   -5.000e-01    5.000e-01   1   0          0   36   27    1.948e-01
      41      23888    2.591e-01   -1.360e+00    5.000e-01   -1.500e+00   1   0          0   36   41    1.948e-01
      41      24124    5.078e-01   -2.637e-01    6.000e-01    0.000e+00   1   0          0   36   58    1.948e-01
      41      24372    1.216e-01    1.229e+00    2.000e-01    1.500e+00   1   0          0   37   19    1.948e-01
      42      24475   -3.975e-01   -1.261e+00    1.800e+00   -1.800e+00   0   1          0   37   51    1.957e-01
      44      24550    3.865e-01    1.546e+00    5.000e-01    1.800e+00   1   0          0   38   14    1.975e-01
      44      24639    1.230e+00   -3.143e-01    1.900e+00   -5.000e-01   0   1          0   38   38    1.975e-01
      46      24661   -1.705e+00   -8.013e-01   -2.000e+00   -8.000e-01   1   0          0   38   46    1.995e-01
      46      24813   -6.256e-01    2.730e-01   -5.000e-01    5.000e-01   1   0          0   38   57    1.995e-01
      46      24849   -1.054e+00   -8.527e-01   -1.300e+00   -9.000e-01   1   0          0   39   01    1.995e-01
      46      24953   -9.608e-01   -1.708e+00   -1.000e+00   -2.000e+00   1   0          0   39   10    1.995e-01
      46      25026    1.299e+00   -3.328e-01    1.900e+00   -5.000e-01   0   1          0   39   34    1.995e-01
      48      25055   -6.103e-01    2.752e-01   -5.000e-01    5.000e-01   1   0          0   39   45    2.015e-01
      48      25463    1.750e+00    1.429e+00    2.000e+00    1.500e+00   1   0          0   40   19    2.015e-01
      48      25739    7.533e-02    1.249e+00    2.000e-01    1.500e+00   1   0          0   40   39    2.015e-01
      48      25931   -1.002e+00    7.159e-01   -1.000e+00    1.000e+00   1   0          0   40   53    2.015e-01
      48      26235    1.513e+00   -1.789e+00    1.800e+00   -1.800e+00   1   0          0   41   19    2.015e-01
      48      26439   -1.688e+00    9.756e-01   -1.900e+00    1.100e+00   1   0          0   41   38    2.015e-01
